¿Qué transformación literaria se produjo en España durante el siglo XVI?,Se produjo el paso de la literatura de la Edad Media a la del Renacimiento.
¿Qué dos poetas son figuras clave en la transformación literaria de España hacia el Renacimiento en el siglo XVI?,Boscán y Garcilaso de la Vega.
¿Qué movimiento artístico y literario dominó en España durante el siglo XVII?,El Barroco.
El Barroco español se enmarca dentro de un periodo de máximo esplendor de las letras españolas conocido como el _____.,Siglo de Oro
¿Cuál era el contexto político y económico de España durante el Barroco en el siglo XVII?,"Era una época de decadencia del imperio, crisis económica y consolidación del poder absoluto."
¿Quiénes son considerados los cuatro grandes genios literarios del Barroco español?,"Lope de Vega, Calderón de la Barca, Luis de Góngora y Francisco de Quevedo."
"Durante el Barroco, el _____ nació como una industria cultural y de entretenimiento de masas.",teatro
¿Cuáles fueron las dos corrientes estéticas contrapuestas de la literatura barroca española?,El culteranismo y el conceptismo.
Concepto: Culteranismo,"Corriente estética barroca centrada en la complejidad y la belleza formal del lenguaje, liderada por Góngora."
Concepto: Conceptismo,"Corriente estética barroca centrada en la agudeza conceptual y el ingenio de las ideas, liderada por Quevedo."
¿Quién es el máximo representante del culteranismo barroco?,Luis de Góngora.
¿Quién es el máximo representante del conceptismo barroco?,Francisco de Quevedo.
¿Dónde se representaban las obras teatrales que dieron lugar al entretenimiento de masas en el Barroco?,En los corrales de comedias.
Nombra una obra fundamental del culteranismo de Góngora.,Las Soledades.
Nombra una obra fundamental del conceptismo de Quevedo.,El Buscón.
"¿Qué obra, publicada de forma anónima en 1554, fundó la novela picaresca?",La vida de Lazarillo de Tormes y de sus fortunas y adversidades.
¿Qué dos características hicieron del Lazarillo de Tormes una obra revolucionaria para su época?,Su realismo crudo y su crítica social sin precedentes.
"El protagonista de la novela picaresca, Lázaro, es un _____ que narra su propia historia de supervivencia.",anti-héroe
¿Qué tres aspectos de la sociedad del siglo XVI critica principalmente el Lazarillo de Tormes?,"La hipocresía religiosa, la nobleza decadente y la injusticia social."
¿Cuál es uno de los temas universales más destacados en el Lazarillo de Tormes?,El hambre.
¿Cómo se estructura el viaje formativo de Lázaro en la novela?,"A través de siete tratados, cada uno con un amo diferente."
"En el Lazarillo de Tormes, cada uno de los amos del protagonista representa un _____.",vicio social
¿Qué innovación aportó el Lazarillo de Tormes en cuanto al lenguaje literario?,"Legitimó el uso del coloquialismo, con un estilo directo y auténtico."
¿A qué autor se le atribuye la creación de la novela moderna?,A Miguel de Cervantes.
"¿Cuál es la obra cumbre de Miguel de Cervantes, considerada la primera novela moderna?",Don Quijote de la Mancha.
¿En qué año se publicó la primera parte de Don Quijote?,1605.
"¿En qué gran batalla naval participó Cervantes, donde fue herido?",En la batalla de Lepanto.
¿Con qué apodo se conoce a Miguel de Cervantes debido a la herida que sufrió en combate?,El Manco de Lepanto.
¿Qué obra de Cervantes es una colección de 12 relatos magistrales que revolucionaron la narrativa corta?,Novelas Ejemplares.
Nombra un ejemplo de relato incluido en las Novelas Ejemplares de Cervantes.,Rinconete y Cortadillo o La gitanilla.
Técnica narrativa: Perspectivismo,Técnica revolucionaria de Cervantes que consiste en presentar la realidad desde múltiples puntos de vista.
La técnica narrativa cervantina en la que la propia obra de ficción reflexiona sobre su naturaleza como ficción se llama _____.,metaficción
¿Qué periodo histórico-cultural de España abarca la vida y obra de Cervantes?,El Siglo de Oro (siglos XVI-XVII).
"Según la fuente, el Lazarillo de Tormes es considerada la primera _____ europea.",novela moderna
"¿Qué figura literaria es descrita como un ""fenómeno"" por su papel en la creación del teatro como entretenimiento de masas?",Lope de Vega.